Requisito,Tipo,Historia,Estado,Prioridad,Estimacion,Responsable,Puntos,Tiempo,Sprint,Dependencia
RF-01,F,Como administrador del sistema; quiero crear el modelo de datos para un Contrato con las columnas clave del dataset de contratación pública; para almacenar y consultar la información de forma estru...,Hecho,Alta,Alta,Steven,9,9 horas,Sprint 1,Ninguna
RF-25,F,Como administrador del sistema; quiero crear un modelo separado de Entidad con sus propios atributos para analizar la contratación a nivel de la entidad de forma más rigurosa.,En progreso,Media,Media,Steven,5,5 horas,Sprint 1,RF-01
RF-02,F,Como administrador del sistema; quiero ejecutar las migraciones de la base de datos para versionar el esquema y crear las tablas; de modo que el modelo quede listo antes de cargar datos.,Por hacer,Alta,Baja,Steven,1.5,1.5 horas,Sprint 1,RF-01
RF-03,F,Como usuario; quiero registrarme en la plataforma con correo y contraseña para crear una cuenta de acceso al sistema.,Por hacer,Alta,Media,Steven,5,5 horas,Sprint 1,Ninguna
RF-04,F,Como usuario; quiero iniciar sesión con mi correo y contraseña para acceder a las funcionalidades del sistema.,Por hacer,Alta,Media,Steven,5,5 horas,Sprint 1,RF-03
RF-05,F,Como usuario; quiero cerrar sesión para invalidar mi token de acceso y proteger mi cuenta.,Por hacer,Media,Baja,Steven,2.5,2.5 horas,Sprint 1,RF-04
RNF-01,NF,Como sistema; debo proteger la autenticación y el API contra accesos no autorizados para salvaguardar la información de contratación.,Por hacer,Alta,Alta,Steven,1,1 hora,Sprint 1,RF-04
RNF-02,NF,Como sistema; debo disponer de las variables de configuración separadas del código para funcionar en distintos entornos sin exponer secretos.,Por hacer,Alta,Baja,Steven,1,1 hora,Sprint 1,RF-01
RF-06,F,Como administrador del sistema; quiero iniciar la ingesta masiva de contratos desde la fuente pública de datos para poblar la base de datos con la información real.,Por hacer,Alta,Alta,Steven,8,8 horas,Sprint 2,RF-02
RF-07,F,Como administrador del sistema; quiero monitorear el progreso de una ingesta en curso para saber cuándo termina y detectar errores.,Por hacer,Alta,Media,Steven,4,4 horas,Sprint 2,RF-06
RF-08,F,Como usuario; quiero consultar un resumen agregado de la contratación filtrado por departamento; año y modalidad para obtener métricas rápidas del gasto público.,Por hacer,Alta,Media,Steven,4,4 horas,Sprint 2,RF-06
