Requisito,Tipo,Historia de Usuario,Estado,Prioridad,Estimacion,Responsable,Puntos,Tiempo,Sprint,Dependencia,Regla de negocio,Criterios de Aceptacion,Criterios de Rechazo
RF-01,F,"Como administrador del sistema, quiero crear el modelo de datos para un Contrato con las columnas clave del dataset de contratación pública, para almacenar y consultar la información de forma estructurada.",Hecho,Alta,Alta,Steven,9,9 horas,Sprint 1,Ninguna,"El modelo de datos se define con el backend Django y el ORM. Debe incluir: nombre_entidad, nit_entidad, departamento, ciudad, orden, sector, id_contrato, estado_contrato, codigo_categoria_principal, descripcion_del_proceso, valor_contrato (DecimalField max_digits=18 decimal_places=2), fecha_firma (DateField), modalidad, contratista_nit y contratista_nombre. Se crean índices de base de datos sobre departamento, modalidad, fecha_firma y contratista_nit.","1. El sistema debe crear el modelo Contrato con exactamente las 15 columnas especificadas: nombre_entidad, nit_entidad, departamento, ciudad, orden, sector, id_contrato, estado_contrato, codigo_categoria_principal, descripcion_del_proceso, valor_contrato, fecha_firma, modalidad, contratista_nit y contratista_nombre | 2. El sistema debe definir valor_contrato como un campo numérico con máximo 18 dígitos y 2 decimales (DecimalField max_digits=18, decimal_places=2) | 3. El sistema debe definir fecha_firma como un campo de tipo fecha (DateField) | 4. El sistema debe crear índices de base de datos sobre las columnas departamento, modalidad, fecha_firma y contratista_nit | 5. DADO que el modelo está definido, CUANDO se ejecuta la verificación de esquema, ENTONCES los 15 campos y los 4 índices existen sin error","1. El modelo omite alguna de las 15 columnas requeridas | 2. El campo valor_contrato acepta más de 2 decimales o más de 18 dígitos sin validación | 3. El campo fecha_firma es de texto en lugar de tipo fecha, permitiendo almacenar valores no válidos como fechas | 4. No se crean los índices sobre departamento, modalidad, fecha_firma o contratista_nit"
RF-25,F,"Como administrador del sistema, quiero crear un modelo separado de Entidad con sus propios atributos para analizar la contratación a nivel de la entidad de forma más rigurosa.",En progreso,Media,Media,Steven,5,5 horas,Sprint 1,RF-01,"El modelo Entidad debe ser una tabla independiente con atributos como nombre_entidad, nit_entidad, departamento, ciudad y sector. El modelo Contrato debe relacionarse a Entidad mediante una clave foránea. Su creación ocurre en el mismo sprint que el modelo Contrato, ya que la relación se define desde el diseño de esquema.","1. El sistema debe crear el modelo Entidad como tabla independiente con atributos nombre_entidad, nit_entidad, departamento, ciudad y sector | 2. El sistema debe relacionar el modelo Contrato a Entidad mediante una clave foránea | 3. El modelo Entidad debe crearse en el mismo sprint que el modelo Contrato, de modo que la relación se defina desde el diseño del esquema | 4. DADO que un contrato se asocia a una entidad, CUANDO se consulta, ENTONCES el análisis puede agrupar por esta entidad","1. El modelo Entidad no existe como tabla propia y queda como campo de texto dentro de Contrato | 2. La relación entre Contrato y Entidad no se define mediante clave foránea | 3. El modelo Entidad se crea en un sprint posterior al de Contrato, dejando la relación pendiente | 4. No es posible agrupar el análisis por la entidad asociada"
RF-02,F,"Como administrador del sistema, quiero ejecutar las migraciones de la base de datos para versionar el esquema y crear las tablas, de modo que el modelo quede listo antes de cargar datos.",Por hacer,Alta,Baja,Steven,1.5,1.5 horas,Sprint 1,RF-01,"Usar sistema de migraciones de Django (makemigrations y migrate). La conexión se realiza a PostgreSQL local (pgAdmin) en puerto 5432. Sin ejecutar migrate, cualquier escritura sobre la tabla debe devolver el error relation does not exist.","1. El sistema debe permitir generar la migración mediante el comando de migraciones de Django sin errores de inconsistencia | 2. El sistema debe aplicar la migración a la base de datos PostgreSQL local (pgAdmin) creando la tabla y los índices definidos | 3. El sistema debe conectarse a PostgreSQL local en el puerto 5432, sin dependencia de servicios externos en la nube | 4. DADO que no se han aplicado las migraciones, CUANDO se intenta una escritura sobre la tabla, ENTONCES el sistema devuelve el error de que la tabla no existe (relation does not exist)","1. La migración se aplica pero no se crean los índices definidos en el modelo | 2. La conexión a base de datos no apunta a la instancia local de PostgreSQL configurada en variables de entorno | 3. La migración se revierte y el sistema continúa permitiendo escrituras sin advertir la falta de estructura | 4. Se aplican las migraciones en orden incorrecto, derribando datos existentes"
RF-03,F,"Como usuario, quiero registrarme en la plataforma con correo y contraseña para crear una cuenta de acceso al sistema.",Por hacer,Alta,Media,Steven,5,5 horas,Sprint 1,Ninguna,"El correo debe ser único y válido en formato estándar. La contraseña debe cumplir mínimo 8 caracteres con al menos una mayúscula, una minúscula y un número, y debe almacenarse con algoritmo PBKDF2. El endpoint de registro debe responder HTTP 201 y validar los datos con serializers.","1. DADO que el usuario ingresa un correo nuevo y una contraseña que cumple la política, CUANDO envía el formulario de registro, ENTONCES el sistema responde HTTP 201 y crea la cuenta | 2. DADO que el usuario ingresa un correo ya registrado, CUANDO envía el formulario, ENTONCES el sistema responde HTTP 400 indicando que el correo ya existe | 3. DADO que el usuario ingresa una contraseña de solo 6 caracteres o sin mayúscula/número, CUANDO envía el formulario, ENTONCES el sistema responde HTTP 400 con el detalle de política no cumplida | 4. El sistema debe almacenar la contraseña con hash PBKDF2, y nunca en texto plano | 5. DADO que el usuario ingresa el campo de correo con formato inválido (sin @ o sin dominio), CUANDO envía el formulario, ENTONCES el sistema responde HTTP 400","1. El sistema responde 201 pero almacena la contraseña en texto plano o con hash débil distinto a PBKDF2 | 2. El sistema responde 201 con un correo duplicado, permitiendo dos cuentas con el mismo correo | 3. El sistema acepta una contraseña que no cumple la política de 8 caracteres con mayúscula, minúscula y número | 4. El sistema acepta un correo sin formato válido (sin @ o sin dominio) y crea la cuenta igualmente"
RF-04,F,"Como usuario, quiero iniciar sesión con mi correo y contraseña para acceder a las funcionalidades del sistema.",Por hacer,Alta,Media,Steven,5,5 horas,Sprint 1,RF-03,El endpoint de login debe validar credenciales y devolver un par de tokens JWT (access y refresh) firmados con HS256. El access token debe expirar en 1 hora y el refresh en 1 día. Ante credenciales inválidas debe responder HTTP 401 sin revelar si el error es de usuario o contraseña.,"1. DADO que el usuario ingresa un correo registrado y la contraseña correcta, CUANDO envía el formulario de login, ENTONCES el sistema responde HTTP 200 con un token de acceso de expiración 1 hora y un token de refresco de 1 día, firmados con HS256 | 2. DADO que el usuario ingresa un correo no registrado, CUANDO envía el formulario, ENTONCES el sistema responde HTTP 401 sin revelar si el error es de correo o de contraseña | 3. DADO que el usuario ingresa una contraseña incorrecta, CUANDO envía el formulario, ENTONCES el sistema responde HTTP 401 sin revelar cuál campo falló | 4. DADO que el usuario ingresa campos vacíos, CUANDO envía el formulario, ENTONCES el sistema responde HTTP 400 listando los campos faltantes",1. El sistema responde 200 pero el token no tiene expiración definida (duraría indefinidamente) | 2. El sistema responde 401 con un mensaje tipo 'contraseña incorrecta' que revela qué campo falló | 3. El sistema permite el login con un correo sin formato válido | 4. El sistema genera el token con un algoritmo distinto a HS256 o sin firma confiable
RF-05,F,"Como usuario, quiero cerrar sesión para invalidar mi token de acceso y proteger mi cuenta.",Por hacer,Media,Baja,Steven,2.5,2.5 horas,Sprint 1,RF-04,"El endpoint de logout debe revocar la sesión actual. El token de acceso debe invalidarse antes de su expiración natural. Tras el logout, cualquier petición protegida con ese token debe responder HTTP 401.","1. DADO que el usuario está autenticado, CUANDO solicita cerrar sesión, ENTONCES el sistema responde HTTP 200 y el token de acceso queda invalidado | 2. DADO que el usuario cierra sesión, CUANDO intenta acceder a un endpoint protegido con el token revocado, ENTONCES el sistema responde HTTP 401 | 3. DADO que el usuario cierra sesión, CUANDO verifica su sesión, ENTONCES el token se invalida de inmediato sin esperar su expiración natural | 4. DADO que el usuario cierra sesión con un token de refresco asociado, CUANDO se cierra la sesión, ENTONCES el token de refresco también se revoca y no puede usarse para obtener un nuevo access token",1. El sistema responde 200 pero el token sigue siendo válido después del cierre de sesión | 2. El sistema permite al usuario reutilizar el token revocado para acceder a datos protegidos | 3. El sistema cierra sesión solo en el navegador pero deja el token válido en el servidor
RNF-01,NF,"Como sistema, debo proteger la autenticación y el API contra accesos no autorizados para salvaguardar la información de contratación.",Por hacer,Alta,Alta,Steven,1,1 hora,Sprint 1,RF-04,Todas las comunicaciones deben usar HTTPS con TLS 1.3. Los endpoints protegidos con JWT deben responder HTTP 401 ante token ausente o vencido. La protección CSRF debe estar activa con tokens rotativos y las políticas CORS restringidas al dominio del frontend definido en variables de entorno.,"1. El sistema debe requerir HTTPS con cifrado TLS 1.3 para todas las comunicaciones, rechazando conexiones sin cifrado | 2. DADO que un usuario no envía token o envía uno vencido, CUANDO accede a un endpoint protegido, ENTONCES el sistema responde HTTP 401 | 3. El sistema debe tener la protección CSRF activa con tokens rotativos por sesión | 4. DADO que una petición viene de un origen no permitido (distinto al dominio del frontend configurado), CUANDO se realiza, ENTONCES el sistema responde HTTP 403 por política CORS",1. El sistema acepta conexiones HTTP sin cifrar en producción | 2. El sistema permite una petición cross-origin desde un dominio no autorizado sin bloquearla | 3. El sistema responde 200 a un endpoint protegido sin token válido | 4. La protección CSRF está desactivada o usa un token fijo que no rota
RNF-02,NF,"Como sistema, debo disponer de las variables de configuración separadas del código para funcionar en distintos entornos sin exponer secretos.",Por hacer,Alta,Baja,Steven,1,1 hora,Sprint 1,RF-01,"Toda configuración sensible (token de acceso a datos, credenciales de base de datos, clave JWT) debe leerse de variables de entorno. Debe entregarse un archivo .env.example con claves vacías; el .env nunca debe versionarse. Los entornos de desarrollo y producción deben usar valores independientes.","1. El sistema debe leer toda la configuración sensible (token de acceso a datos, credenciales de base de datos, clave JWT) de variables de entorno, nunca de código | 2. El sistema debe incluir un archivo .env.example con las claves de configuración vacías y documentadas | 3. El sistema debe excluir el archivo .env del control de versiones (debe estar en el archivo de ignorados) | 4. El sistema debe permitir configurar valores independientes para los entornos de desarrollo y producción",1. El archivo .env se versiona y queda expuesto con credenciales reales en el repositorio | 2. Una credencial sensible (como la clave JWT) está hardcodeada en el código fuente | 3. No existe .env.example ni documentación de qué variables de entorno son necesarias | 4. El desarrollo y producción comparten los mismos valores de configuración sin posibilidad de diferenciarlos
RF-06,F,"Como administrador del sistema, quiero iniciar la ingesta masiva de contratos desde la fuente pública de datos para poblar la base de datos con la información real.",Por hacer,Alta,Alta,Steven,8,8 horas,Sprint 2,RF-02,"La ingesta se realiza desde la API SODA de datos.gov.co con paginación $limit=50000 y $offset incremental usando $order=:id, enviando el header X-App-Token. La carga usa bulk_create con batch_size=1000. El progreso se registra en un objeto ProcessingJob con estados pending/running/completed/failed y campo progress 0-100.","1. DADO que el administrador inicia la ingesta, CUANDO el sistema consume datos de la fuente pública, ENTONCES la carga debe paginar en bloques de como máximo 50000 registros usando límite y desplazamiento incremental con orden estable | 2. El sistema debe enviar el token de acceso en cada petición a la fuente de datos | 3. El sistema debe insertar los registros en la base de datos en lotes de 1000 mediante inserción masiva (bulk_create) | 4. El sistema debe registrar el progreso de la ingesta en un objeto de proceso con estados running/completed/failed y un progreso numérico de 0 a 100 | 5. DADO que la ingesta falla en mitad del proceso, CUANDO se evalúa el job, ENTONCES el estado pasa a failed y el progreso refleja el punto alcanzado","1. El sistema intenta descargar todas las filas en una sola petición superando el límite de la fuente | 2. El sistema inserta registros de uno en uno sin usar inserción masiva, resultando muy lento | 3. El sistema no registra el progreso, el estado ni el mensaje de error del proceso | 4. Los registros duplicados se insertan sin control, duplicando filas en la base de datos"
RF-07,F,"Como administrador del sistema, quiero monitorear el progreso de una ingesta en curso para saber cuándo termina y detectar errores.",Por hacer,Alta,Media,Steven,4,4 horas,Sprint 2,RF-06,"El endpoint GET /api/jobs/{id}/ debe devolver JSON con id, estado, progress y mensaje de error. La ingesta debe ejecutarse en un hilo en segundo plano para no bloquear la petición. El endpoint de inicio POST /api/sincronizar/ debe responder HTTP 202 Accepted de inmediato.","1. DADO que hay una ingesta en curso, CUANDO el usuario consulta el estado del job, ENTONCES el sistema devuelve el estado, el progreso numérico y el mensaje de error en JSON | 2. DADO que el usuario inicia una ingesta, CUANDO envía la petición, ENTONCES el sistema responde HTTP 202 Accepted de inmediato sin bloquear | 3. DADO que la ingesta se ejecuta, CUANDO se observa el procesamiento, ENTONCES esta corre en un hilo en segundo plano y la petición de inicio no espera a que termine | 4. DADO que el job termina, CUANDO se consulta, ENTONCES devuelve el estado completed y el progreso 100",1. El sistema bloquea la petición de inicio hasta que termina toda la ingesta | 2. El estado del job se queda en running aunque el proceso terminó o falló | 3. El progreso no avanza o se queda fijo en 0 aun con registros procesados | 4. El endpoint de consulta no devuelve el mensaje de error cuando el job falló
